编号,卡牌名称,属性分类,稀有度,技能功能描述,特效表现,释放表现,冷却/消耗,卡池权重,图片文件
F01,烈焰弹,火属性,普通,"发射一枚火球沿直线飞行，命中敌人造成火属性伤害（基础100%攻击力）","火球拖尾留下橙红色粒子轨迹，命中时产生火焰爆裂效果","角色手部聚火→前推释放，火球直线飞行至命中或超出屏幕",无,8%,card_F01_烈焰弹_20260530094100.png
F03,熔岩喷射,火属性,稀有,"扇形喷射熔岩碎片（短距多段），造成火属性伤害（基础50%×4段=200%攻击力），命中后地面留下燃烧区域1秒","熔岩碎片扇形散射拖出火红尾焰，落地形成橙色燃烧地面","角色双手前推→扇形火流喷出→地面着火",无,4%,card_F03_熔岩喷射_20260530094109.png
I01,冰霜刺,冰属性,普通,"地面升起冰刺对前方敌人造成冰属性伤害（基础110%攻击力），命中减速20%持续1.5秒","冰刺从地面破裂而出，碎冰粒子四散，命中敌人身上附着冰霜","角色跺脚→地面裂纹→冰刺升起",无,8%,card_I01_冰霜刺_20260530094103.png
I02,冰晶弹幕,冰属性,普通,"发射4枚冰晶弹呈扇形散射，每枚造成冰属性伤害（基础40%攻击力），全命中160%","冰蓝色菱形弹体带冰晶尾迹，命中冻裂特效","角色双手前推→4枚冰晶同时射出，扇形角度30°",无,8%,card_I02_冰晶弹幕_20260530094105.png
I03,极寒领域,冰属性,稀有,"以自身为中心展开冰冻领域（半径3米），域内敌人每0.5秒受冰属性伤害（30%攻击力），减速40%，持续3秒","圆形冰蓝色能量场扩散，雪花结晶旋转环绕，地面结冰纹理","角色蓄力→双手拍地→冰环向外扩散形成领域",5秒冷却,4%,card_I03_极寒领域_20260530094101.png
W01,旋风斩,风属性,普通,"快速旋转释放风刃环绕自身一圈，对周围敌人造成风属性伤害（基础90%攻击力）","绿色风刃环绕旋转一圈，切割气流可见","角色原地旋转一圈，风刃同步生成并消散",无,8%,card_W01_旋风斩_20260530094101.png
W02,风刃飞射,风属性,普通,"向前方发射3道风刃，呈平行排列飞行，每道造成风属性伤害（基础50%攻击力），可穿透1个敌人","半透明绿色弧形风刃高速飞行，穿透时风刃变淡","角色挥臂→3道风刃平行射出",无,8%,card_W02_风刃飞射_20260530094100.png
W04,真空斩,风属性,稀有,"凝聚真空刀刃向前斩出，造成风属性伤害（基础200%攻击力），无视护甲30%，击退敌人","透明刀刃划过留下空间扭曲痕迹，命中产生真空破裂冲击波","角色蓄力拔刀→高速前斩→真空刀刃延伸",无,4%,card_W04_真空斩_20260530094325.png
T01,雷霆击,雷属性,普通,"向前方释放雷击，造成雷属性伤害（基础100%攻击力），命中后有10%概率触发连锁闪电弹射至旁边敌人","金色闪电球飞出，命中爆出电弧火花","角色单手前指→雷球射出→命中电弧扩散",无,8%,card_T01_雷霆击_20260530120331.png
T03,雷暴领域,雷属性,稀有,"以指定位置为中心展开雷暴云层（半径3米），域内每0.8秒随机落下雷击（80%攻击力），持续3秒，附带20%眩晕率","头顶出现黑色雷云，闪电不规则劈落，地面电弧蔓延","角色举手引天雷→指定位置上方雷云聚集→开始落雷",6秒冷却,4%,card_T03_雷暴领域_20260530120331.png
T04,瞬雷,雷属性,稀有,"瞬间在目标位置落下雷击，造成雷属性伤害（基础180%攻击力），附带0.5秒眩晕","金色闪电从天而降，命中点产生电弧扩散和地面焦痕","角色举手指天→目标头顶出现雷云标记→闪电瞬间落下",无,4%,card_T04_瞬雷_20260530094326.png
E02,尖刺陷阱,土属性,普通,"在指定位置布置尖刺陷阱，敌人踩中触发造成土属性伤害（基础120%攻击力），定身1秒","地面微微隆起作为预警，触发时尖刺猛烈弹出，碎石飞溅","角色单手触地→指定位置地面轻微颤动（陷阱就绪）",同时最多2个,7%,card_E02_尖刺陷阱_20260530094325.png
E03,岩壁屏障,土属性,稀有,"在自身前方召唤岩壁，持续3秒，可抵挡投射物和近战攻击（耐久值=200%防御力）","厚重岩石墙从地面升起，表面有裂纹和青苔纹理，被击碎时崩裂","角色双手上举→地面隆起→岩壁完整升起",6秒冷却,4%,card_E03_岩壁屏障_20260530094325.png
E04,地裂冲击,土属性,稀有,"重击地面产生前方直线裂缝，沿途敌人受土属性伤害（基础160%攻击力）并浮空0.8秒","地面裂开金色能量涌出，裂缝两侧碎石弹起，终点处地面爆裂","角色跳起→重拳砸地→裂缝向前延伸",无,4%,card_E04_地裂冲击_20260530094325.png
N01,时间停止,时停,稀有,"全屏时间冻结2秒，期间所有敌人无法行动/攻击，玩家可自由行动和攻击（伤害正常计算）","全屏变为靛紫色调，敌人身上出现时钟齿轮静止特效，背景粒子冻结","角色摊开双手→碎裂沙漏图标闪现→全屏色调变化",整局限用1次,2%,card_N01_时间停止_20260530094412.png
N02,时间裂隙,时停,稀有,"在指定位置创造时空裂隙持续2秒，范围内敌人时间停止无法行动（范围半径2米）","紫色裂缝撕开空间，内部齿轮碎片悬停旋转，边缘能量闪烁","角色撕裂手势→空间裂口出现→能量稳定",8秒冷却,3%,card_N02_时间裂隙_20260530094353.png
N03,时间减缓,时缓,普通,"全屏减缓敌人动作速度50%，持续3秒，玩家速度不受影响","全屏淡紫色滤镜，敌人动作出现残影拖尾效果，沙漏缓慢流动","角色双手缓慢下压→空间泛起紫色涟漪",10秒冷却,5%,card_N03_时间减缓_20260530094348.png
N06,空间折跃,空间,稀有,"瞬移至指定位置（最远5米），途经敌人受空间撕裂伤害（基础80%攻击力），有0.3秒无敌帧","传送起点和终点出现紫蓝色漩涡门，路径上留下空间扭曲残痕","角色身体像素化分解→终点重组出现",4秒冷却,3%,card_N06_空间折跃_20260530094348.png
N07,物质崩解,物质,稀有,"对单体目标施加物质崩解，3秒内持续造成伤害（每秒60%攻击力），期间目标防御力降低30%","目标身体边缘出现粒子剥离效果，碎片向外飘散消失","角色握拳→目标身上出现裂纹→粒子开始剥离",8秒冷却,3%,card_N07_物质崩解_20260530094348.png
N08,物质凝聚弹,物质,普通,"凝聚周围物质碎片形成弹体发射，造成物质伤害（基础130%攻击力），命中后碎片扩散伤害周围（50%攻击力）","漩涡状吸收周围碎屑凝聚成球，发射后命中爆散","角色前方漩涡聚集碎片→成球→推射而出",无,6%,card_N08_物质凝聚弹_20260530094354.png
N09,虚无之刃,无属性,普通,"快速前刺一剑，造成无属性纯粹伤害（基础100%攻击力），无视所有属性抗性",无,"角色极速前刺→收刀，动作极简",无,7%,card_N09_虚无之刃_20260530094351.png
N10,中和射线,无属性,普通,"发射白色光束贯穿前方直线所有敌人，造成无属性伤害（基础70%攻击力×命中数），消除目标身上的属性增益效果","纯白直线光束闪烁，命中目标身上彩色buff图标碎裂消失","角色双手合并→白光聚焦→直线射出",6秒冷却,6%,card_N10_中和射线_20260530094352.png
S01,梦想封印,火属性,稀有,"释放封印符咒，命中敌人后封印其当前技能3秒（无法使用技能），同时造成火属性伤害（基础80%攻击力）","阴阳符箓旋转飞出，命中后目标头顶出现封印锁链图标，红色火焰环绕","角色结印→阴阳符箓浮现→飞向目标→锁定封印",10秒冷却,2%,card_S01_梦想封印_20260530120331.png
